,회원번호,회원상태,성별,나이,등록카드,결혼,구독여부,주소지,세부주소지
0,18764160,정상회원,여,68,농협중앙회,기혼,False,서울특별시,성동구
1,18792000,정상회원,남,83,연결앱결제,,False,강원도,강릉시
2,18942336,정상회원,여,39,신한은행,기혼,False,인천광역시,중구
3,18949760,정상회원,여,73,기업은행,,,강원도,홍천군
4,19391488,정상회원,여,52,연결앱결제,기혼,False,대전광역시,중구
5,19627200,정상회원,여,45,기업은행,,False,전라북도,군산시
6,19727424,정상회원,여,50,롯데카드,기혼,False,부산광역시,기장군
7,19996544,정상회원,여,45,삼성카드,,False,경기도,구리시
8,20235968,정상회원,여,53,농협중앙회,,,경기도,수원시
9,20258240,정상회원,여,43,우체국,기혼,False,전라북도,완주군
10,20588608,정상회원,여,43,롯데카드,,False,인천광역시,남동구
11,20636864,정상회원,여,58,우리은행,,False,경기도,수원시
12,21134272,정상회원,여,41,롯데카드,,False,울산광역시,남구
13,21457216,정상회원,여,48,하나은행,,False,경상북도,경주시
14,21982464,정상회원,여,42,현대카드,기혼,,경상남도,사천시
15,22112384,정상회원,여,52,연결앱결제,,False,경기도,의정부시
16,22259008,정상회원,여,46,신한은행,기혼,,강원도,정선군
17,22270144,정상회원,여,44,롯데카드,,False,전라남도,영암군
18,22990272,정상회원,여,62,롯데카드,,False,인천광역시,남동구
19,23437568,정상회원,여,48,농협중앙회,기혼,,경기도,안성시
20,23485824,정상회원,여,41,연결앱결제,기혼,False,경상남도,거창군
21,23573056,정상회원,여,41,신한카드,기혼,,서울특별시,양천구
22,24098304,정상회원,여,58,신한은행,기혼,True,경기도,안양시
23,24883392,정상회원,여,65,롯데카드,기혼,False,전라북도,전주시
24,25145088,정상회원,여,47,연결앱결제,,False,경상남도,김해시
25,26110208,정상회원,여,38,국민은행,기혼,False,경기도,시흥시
26,26355200,정상회원,여,64,연결앱결제,미혼,,강원도,춘천시
27,26676288,정상회원,여,38,부산은행,기혼,False,경기도,평택시
28,27021504,정상회원,여,45,롯데카드,기혼,False,경기도,안성시
29,27066048,정상회원,여,49,농협중앙회,기혼,False,경상북도,안동시
30,27210816,정상회원,여,48,롯데카드,,False,경기도,오산시
31,27387136,정상회원,여,49,농협중앙회,미혼,False,광주광역시,광산구
32,28394944,정상회원,여,45,농협중앙회,기혼,True,대구광역시,북구
33,28871936,정상회원,여,40,롯데카드,기혼,False,경기도,양주시
34,29658880,정상회원,여,66,롯데카드,,False,세종특별자치시,새롬중앙로
35,29868608,정상회원,여,57,농협중앙회,,False,경상북도,경주시
36,30215680,정상회원,여,46,기업은행,,,강원도,철원군
37,31691200,정상회원,여,39,하나은행,기혼,False,부산광역시,부산진구
38,37188672,정상회원,여,54,농협중앙회,,False,경상남도,양산시
39,37253632,정상회원,여,43,BC카드,기혼,False,세종특별자치시,연서면
40,37314880,정상회원,여,67,롯데카드,기혼,False,경상북도,울진군
41,37415104,정상회원,여,48,부산은행,,,경상남도,사천시
42,37584000,정상회원,여,43,롯데카드,기혼,False,경기도,평택시
43,38270720,정상회원,여,62,신한카드,,False,부산광역시,부산진구
44,38588096,정상회원,여,42,씨티은행,기혼,True,경기도,시흥시
45,38593664,정상회원,여,48,신한은행,미혼,,전라남도,완도군
46,38808960,정상회원,여,63,삼성카드,,False,부산광역시,부산진구
47,38842368,정상회원,여,51,현대카드,기혼,False,경상남도,산청군
48,38859072,정상회원,여,49,국민은행,,False,부산광역시,사하구
49,38862784,정상회원,여,64,롯데카드,기혼,False,부산광역시,기장군
50,38866496,탈퇴,여,64,신한은행,기혼,,경기도,이천시
51,38903616,정상회원,여,55,우리은행,기혼,False,인천광역시,부평구
52,38918464,정상회원,여,58,국민카드,,True,강원도,태백시
